journals/tmm,IEEE Transactions on Multimedia,A*,https://dblp.uni-trier.de/db/journals/tmm
journals/tnn,IEEE Transactions on Neural Networks and Learning Systems (was IEEE Transactions on Neural Networks),A*,https://dblp.uni-trier.de/db/journals/tnn
journals/tpds,IEEE Transactions on Parallel and Distributed Systems,A*,https://dblp.uni-trier.de/db/journals/tpds
journals/pami,IEEE Transactions on Pattern Analysis and Machine Intelligence,A*,https://dblp.uni-trier.de/db/journals/pami
journals/tpc,IEEE Transactions on Professional Communication,B,https://dblp.uni-trier.de/db/journals/tpc
journals/tr,IEEE Transactions on Reliability,A,https://dblp.uni-trier.de/db/journals/tr
journals/trob,IEEE Transactions on Robotics,A*,https://dblp.uni-trier.de/db/journals/trob
journals/tsc,IEEE Transactions on Services Computing,A*,https://dblp.uni-trier.de/db/journals/tsc
journals/tse,IEEE Transactions on Software Engineering,A*,https://dblp.uni-trier.de/db/journals/tse
journals/tvcg,IEEE Transactions on Visualization and Computer Graphics,A,https://dblp.uni-trier.de/db/journals/tvcg
journals/ieicet,IEICE Transactions on Fundamentals of Electronics Communications and Computer Sciences,C,https://dblp.uni-trier.de/db/journals/ieicet
journals/iet-cvi,IET Computer Vision,B,https://dblp.uni-trier.de/db/journals/iet-cvi
journals/iet-cdt,IET Computers and Digital Techniques,B,https://dblp.uni-trier.de/db/journals/iet-cdt
journals/iet-ifs,IET Information Security,C,https://dblp.uni-trier.de/db/journals/iet-ifs
journals/iet-sen,IET Software,C,https://dblp.uni-trier.de/db/journals/iet-sen
journals/ivc,Image and Vision Computing,B,https://dblp.uni-trier.de/db/journals/ivc
journals/imds,Industrial Management + Data Systems,not primarily CS,https://dblp.uni-trier.de/db/journals/imds
journals/irob,Industrial Robot,C,https://dblp.uni-trier.de/db/journals/irob
journals/infor,INFOR: Information Systems and Operational Research,C,https://dblp.uni-trier.de/db/journals/infor
journals/informaticaLT,Informatica,C,https://dblp.uni-trier.de/db/journals/informaticaLT
journals/informaticaSI,Informatica: journal of computing and informatics,C,https://dblp.uni-trier.de/db/journals/informaticaSI
journals/iie,Informatics in Education,B,https://dblp.uni-trier.de/db/journals/iie
journals/iandc,Information and Computation,B,https://dblp.uni-trier.de/db/journals/iandc
journals/iando,Information and Organization,Not primarily CS,https://dblp.uni-trier.de/db/journals/iando
journals/infsof,Information and Software Technology,A,https://dblp.uni-trier.de/db/journals/infsof
journals/inffus,Information Fusion,B,https://dblp.uni-trier.de/db/journals/inffus
journals/imcs,Information Management and Computer Security,C,https://dblp.uni-trier.de/db/journals/imcs
journals/ipm,Information Processing and Management,A,https://dblp.uni-trier.de/db/journals/ipm
journals/ipl,Information Processing Letters,B,https://dblp.uni-trier.de/db/journals/ipl
journals/ir,Information Retrieval,B,https://dblp.uni-trier.de/db/journals/ir
journals/isci,Information Sciences,A,https://dblp.uni-trier.de/db/journals/isci
journals/isjgp,Information Security Journal: a Global Perspective,C,https://dblp.uni-trier.de/db/journals/isjgp
journals/istr,Information Security Technical Report,B,https://dblp.uni-trier.de/db/journals/istr
journals/is,Information Systems,A*,https://dblp.uni-trier.de/db/journals/is
journals/isem,Information Systems and e-Business Management,C,https://dblp.uni-trier.de/db/journals/isem
journals/isf,Information Systems Frontiers: a journal of research and innovation,not primarily CS,https://dblp.uni-trier.de/db/journals/isf
journals/isr,Information Systems Research,not primarily CS,https://dblp.uni-trier.de/db/journals/isr
journals/itm,Information Technology and Management,C,https://dblp.uni-trier.de/db/journals/itm
journals/itp,Information Technology and People,Not primarily CS,https://dblp.uni-trier.de/db/journals/itp
journals/ivs,Information Visualization,C,https://dblp.uni-trier.de/db/journals/ivs
journals/iks,"Information, Knowledge, Systems Management",C,https://dblp.uni-trier.de/db/journals/iks
journals/informingscij,Informing Science: international journal of an emerging transdiscipline,C,https://dblp.uni-trier.de/db/journals/informingscij
journals/informs,Informs Journal on Computing,A,https://dblp.uni-trier.de/db/journals/informs
journals/icae,Integrated Computer Aided Engineering,B,https://dblp.uni-trier.de/db/journals/icae
journals/iasc,Intelligent Automation and Soft Computing,C,https://dblp.uni-trier.de/db/journals/iasc
journals/ida,Intelligent Data Analysis,B,https://dblp.uni-trier.de/db/journals/ida
journals/isafm,"Intelligent Systems in Accounting, Finance and Management",C,https://dblp.uni-trier.de/db/journals/isafm
journals/iwc,Interacting with Computers,B,https://dblp.uni-trier.de/db/journals/iwc
journals/interfaces,Interfaces,B,https://dblp.uni-trier.de/db/journals/interfaces
journals/ijahuc,International Journal of Ad Hoc and Ubiquitous Computing,B,https://dblp.uni-trier.de/db/journals/ijahuc
journals/ijaip,International Journal of Advanced Intelligence Paradigms,Not ranked,https://dblp.uni-trier.de/db/journals/ijaip
journals/ijamc,International Journal of Advanced Media and Communication,C,https://dblp.uni-trier.de/db/journals/ijamc
journals/ijaose,International Journal of Agent Oriented Software Engineering,B,https://dblp.uni-trier.de/db/journals/ijaose
journals/ijact,International Journal of Applied Cryptography,Not ranked,https://dblp.uni-trier.de/db/journals/ijact
journals/ijads,International Journal of Applied Decision Sciences,Not ranked,https://dblp.uni-trier.de/db/journals/ijads
journals/ijar,International Journal of Approximate Reasoning,B,https://dblp.uni-trier.de/db/journals/ijar
journals/ijaisc,International Journal of Artificial Intelligence and Soft Computing,Not ranked,https://dblp.uni-trier.de/db/journals/ijaisc
journals/ijaacs,International Journal of Autonomous and Adaptive Communications Systems,Not ranked,https://dblp.uni-trier.de/db/journals/ijaacs
journals/ijbra,International Journal of Bioinformatics Research and Applications,B,https://dblp.uni-trier.de/db/journals/ijbra
journals/ijbm,International Journal of Biometrics,Not ranked,https://dblp.uni-trier.de/db/journals/ijbm
journals/ijbdcn,International Journal of Business Data Communications and Networking,C,https://dblp.uni-trier.de/db/journals/ijbdcn
journals/ijbis,International Journal of Business Information Systems,C,https://dblp.uni-trier.de/db/journals/ijbis
journals/ijbidm,International Journal of Business Intelligence and Data Mining,C,https://dblp.uni-trier.de/db/journals/ijbidm
journals/ijcini,International Journal of Cognitive Informatics and Natural Intelligence,C,https://dblp.uni-trier.de/db/journals/ijcini
journals/ijcnds,International Journal of Communication Networks and Distributed Systems,Not ranked,https://dblp.uni-trier.de/db/journals/ijcnds
journals/ijcga,International Journal of Computational Geometry and Applications,B,https://dblp.uni-trier.de/db/journals/ijcga
journals/ijcia,International Journal of Computational Intelligence and Applications,B,https://dblp.uni-trier.de/db/journals/ijcia
journals/ijcat,International Journal of Computer Applications in Technology,C,https://dblp.uni-trier.de/db/journals/ijcat
journals/ijcm,International Journal of Computer Mathematics,C,https://dblp.uni-trier.de/db/journals/ijcm
journals/ijcpol,International Journal of Computer Processing of Oriental Languages,C,https://dblp.uni-trier.de/db/journals/ijcpol
journals/ijcv,International Journal of Computer Vision,A*,https://dblp.uni-trier.de/db/journals/ijcv
journals/isca,International Journal of Computers and Applications,C,https://dblp.uni-trier.de/db/journals/isca
journals/ijcsm,International Journal of Computing Science and Mathematics,C,https://dblp.uni-trier.de/db/journals/ijcsm
journals/ijcis,International Journal of Cooperative Information Systems,C,https://dblp.uni-trier.de/db/journals/ijcis
journals/ijcip,International Journal of Critical Infrastructure Protection,Not ranked,https://dblp.uni-trier.de/db/journals/ijcip
journals/ijdmb,International Journal of Data Mining and Bioinformatics,C,https://dblp.uni-trier.de/db/journals/ijdmb
journals/jdwm,International Journal of Data Warehousing and Mining,C,https://dblp.uni-trier.de/db/journals/jdwm
journals/digearth,International Journal of Digital Earth: a new journal for a new vision,B,https://dblp.uni-trier.de/db/journals/digearth
journals/ijdsn,International Journal of Distributed Sensor Networks,C,https://dblp.uni-trier.de/db/journals/ijdsn
journals/ijebr,International Journal of e-Business Research,C,https://dblp.uni-trier.de/db/journals/ijebr
